"Gene","Group","Regulation","lfc","padj","Significant"
"IL-12p40","Baseline","None",1.28955312814667,1,FALSE
"RANTES","Baseline","None",-1.24050702787105,1,FALSE
"IFN-β","Baseline","None",1.10544540636955,1,FALSE
"IL-1β","Baseline","None",0.815134326607377,1,FALSE
"TNF-α","Baseline","None",0.801616008323599,1,FALSE
"IFN-γ","Baseline","None",0.712298968812844,1,FALSE
"GM-CSF","Baseline","None",0.681511317421024,1,FALSE
"IL-17A","Baseline","None",0.598379506753756,1,FALSE
"IP-10","Baseline","None",0.393105337190978,1,FALSE
"IL-8","Baseline","None",-0.34880926220303,1,FALSE
"I-TAC","Baseline","None",0.333137985074497,1,FALSE
"Myoglobin","Baseline","None",0.271418301855942,1,FALSE
"MIG","Baseline","None",0.266682175036595,1,FALSE
"Eotaxin","Baseline","None",-0.246725404139777,1,FALSE
"MCP-1","Baseline","None",-0.237074464836891,1,FALSE
"MIP-1β","Baseline","None",0.220436039317339,1,FALSE
"IGFBP-4","Baseline","None",-0.212779357489882,1,FALSE
"IL-23","Baseline","None",0.158896147270134,1,FALSE
"Factor XIII","Baseline","None",-0.15341316430198,1,FALSE
"Cystatin C","Baseline","None",0.151581886773393,1,FALSE
"IL-10","Baseline","None",-0.138473370475838,1,FALSE
"Antithrombin","Baseline","None",-0.103204479974075,1,FALSE
"ICAM-1","Baseline","None",0.0972566001907023,1,FALSE
"MMP-2","Baseline","None",-0.0940593490501094,1,FALSE
"MPO","Baseline","None",0.0904644237615084,1,FALSE
"Plasminogen","Baseline","None",-0.0706757012685628,1,FALSE
"sCD40L","Baseline","None",-0.0666985956355788,1,FALSE
"Fibrinogen","Baseline","None",-0.0579496859426207,1,FALSE
"PAI-1","Baseline","None",0.0430708290011736,1,FALSE
"MIP-1α","Baseline","None",0.0427363811447634,1,FALSE
"tPA","Baseline","None",0.0236252400841455,1,FALSE
"MMP-9","Baseline","None",0.0103992665101664,1,FALSE
"Prothrombin","Baseline","None",-0.00535076034081428,1,FALSE
"VCAM-1","Baseline","None",-0.00219474365551342,1,FALSE
"MRP8/14","Baseline","None",7.105427357601e-15,1,FALSE
"OPN","Baseline","None",5.32907051820075e-15,1,FALSE
"Tissue Factor","Baseline","None",-1.77635683940025e-15,1,FALSE
"SAA","Baseline","None",-1.77635683940025e-15,1,FALSE
"IL-6","Baseline","None",0,1,FALSE
"PSGL-1","Baseline","None",0,1,FALSE
"NGAL","Baseline","None",0,1,FALSE
"RANTES","Pre-response","None",-2.47873665935805,0.996178012276633,FALSE
"sCD40L","Pre-response","None",-1.15378682876402,0.996178012276633,FALSE
"IFN-β","Pre-response","None",0.825745054406454,0.996178012276633,FALSE
"PAI-1","Pre-response","None",-0.721481497433281,0.996178012276633,FALSE
"IL-17A","Pre-response","None",0.664427835954791,0.996178012276633,FALSE
"TNF-α","Pre-response","None",0.648419661626475,0.996178012276633,FALSE
"MIP-1β","Pre-response","None",-0.647306244283892,0.996178012276633,FALSE
"IP-10","Pre-response","None",0.59751858737287,0.996178012276633,FALSE
"IGFBP-4","Pre-response","None",-0.550232204232559,0.996178012276633,FALSE
"MCP-1","Pre-response","None",-0.514521336000016,0.996178012276633,FALSE
"IL-23","Pre-response","None",-0.443256447266352,0.996178012276633,FALSE
"IL-1β","Pre-response","None",0.413492007632906,0.996178012276633,FALSE
"IL-8","Pre-response","None",-0.386310827572311,0.996178012276633,FALSE
"GM-CSF","Pre-response","None",0.368757431632605,0.996178012276633,FALSE
"MMP-2","Pre-response","None",-0.341576459041555,0.996178012276633,FALSE
"IL-12p40","Pre-response","None",0.309953134169669,0.996178012276633,FALSE
"tPA","Pre-response","None",-0.276184681465889,0.996178012276633,FALSE
"IFN-γ","Pre-response","None",0.240176390980484,0.996178012276633,FALSE
"Plasminogen","Pre-response","None",-0.236883190934698,0.996178012276633,FALSE
"MIG","Pre-response","None",-0.219783100822391,0.996178012276633,FALSE
"MRP8/14","Pre-response","None",-0.210090607891953,0.996178012276633,FALSE
"IL-6","Pre-response","None",-0.19725886149218,0.996178012276633,FALSE
"IL-10","Pre-response","None",-0.1949937007147,0.996178012276633,FALSE
"SAA","Pre-response","None",-0.185156259718593,0.996178012276633,FALSE
"Factor XIII","Pre-response","None",0.173645490193593,0.996178012276633,FALSE
"MIP-1α","Pre-response","None",-0.148617837020059,0.996178012276633,FALSE
"I-TAC","Pre-response","None",0.131148633117037,0.996178012276633,FALSE
"VCAM-1","Pre-response","None",0.112256432984818,0.996178012276633,FALSE
"NGAL","Pre-response","None",-0.111035893137155,0.996178012276633,FALSE
"OPN","Pre-response","None",0.108357602592099,0.996178012276633,FALSE
"Antithrombin","Pre-response","None",-0.0948799110077232,0.996178012276633,FALSE
"Eotaxin","Pre-response","None",-0.0449869741627382,0.996178012276633,FALSE
"Cystatin C","Pre-response","None",-0.0384087002326545,0.996178012276633,FALSE
"Myoglobin","Pre-response","None",0.037101664743286,0.996178012276633,FALSE
"MPO","Pre-response","None",0.037068577208478,0.996178012276633,FALSE
"Tissue Factor","Pre-response","None",-0.0277190458150995,0.996178012276633,FALSE
"Fibrinogen","Pre-response","None",-0.0249517246525848,0.996178012276633,FALSE
"MMP-9","Pre-response","None",-0.0166165865048153,0.996178012276633,FALSE
"Prothrombin","Pre-response","None",0.00534549547808538,0.996178012276633,FALSE
"PSGL-1","Pre-response","None",-0.00306803038263759,0.996178012276633,FALSE
"ICAM-1","Pre-response","None",0.00176020788829057,0.996178012276633,FALSE
"IL-12p40","Early","None",1.46809118737759,0.998044727705332,FALSE
"TNF-α","Early","None",1.22837518002353,0.998044727705332,FALSE
"IFN-γ","Early","None",1.17029053138641,0.998044727705332,FALSE
"IFN-β","Early","None",0.998801715977116,0.998044727705332,FALSE
"IL-1β","Early","None",0.94712904544253,0.998044727705332,FALSE
"tPA","Early","None",0.766307102013522,0.998044727705332,FALSE
"IL-17A","Early","None",0.679921386105162,0.998044727705332,FALSE
"sCD40L","Early","None",0.664640515337457,0.998044727705332,FALSE
"GM-CSF","Early","None",0.523943946796305,0.998044727705332,FALSE
"Myoglobin","Early","None",-0.433287873302891,0.998044727705332,FALSE
"MIP-1β","Early","None",0.342283364023142,0.998044727705332,FALSE
"IL-23","Early","None",0.29977145801386,0.998044727705332,FALSE
"RANTES","Early","None",-0.28971583563121,0.998044727705332,FALSE
"VCAM-1","Early","None",0.245891696144247,0.998044727705332,FALSE
"IP-10","Early","None",0.242894868999234,0.998044727705332,FALSE
"Eotaxin","Early","None",-0.240588681492739,0.998044727705332,FALSE
"IGFBP-4","Early","None",-0.223958766416413,0.998044727705332,FALSE
"I-TAC","Early","None",0.206297023474728,0.998044727705332,FALSE
"MRP8/14","Early","None",0.205009588446948,0.998044727705332,FALSE
"IL-8","Early","None",-0.199337694789437,0.998044727705332,FALSE
"MPO","Early","None",0.194890916963674,0.998044727705332,FALSE
"IL-10","Early","None",0.152766704465768,0.998044727705332,FALSE
"ICAM-1","Early","None",0.147274600828725,0.998044727705332,FALSE
"MMP-2","Early","None",-0.128466470269419,0.998044727705332,FALSE
"PAI-1","Early","None",0.097747911697212,0.998044727705332,FALSE
"SAA","Early","None",0.081453584636284,0.998044727705332,FALSE
"Prothrombin","Early","None",0.0547724412153059,0.998044727705332,FALSE
"Plasminogen","Early","None",-0.0416158173382293,0.998044727705332,FALSE
"MCP-1","Early","None",-0.0323517604163701,0.998044727705332,FALSE
"OPN","Early","None",-0.0291615287086433,0.998044727705332,FALSE
"Antithrombin","Early","None",0.0248016168088441,0.998044727705332,FALSE
"Cystatin C","Early","None",0.0210619052835259,0.998044727705332,FALSE
"MMP-9","Early","None",-0.018872229861346,0.998044727705332,FALSE
"MIP-1α","Early","None",-0.0162048210604411,0.998044727705332,FALSE
"MIG","Early","None",-0.01081865304086,0.998044727705332,FALSE
"IL-6","Early","None",-0.00876134071060353,0.998044727705332,FALSE
"Tissue Factor","Early","None",-0.00445484664885765,0.998044727705332,FALSE
"Factor XIII","Early","None",-0.00426869849574274,0.998044727705332,FALSE
"Fibrinogen","Early","None",-0.00401009860489054,0.998044727705332,FALSE
"NGAL","Early","None",-0.00094980349169127,0.998044727705332,FALSE
"PSGL-1","Early","None",-0.000493076311494534,0.998044727705332,FALSE
"IGFBP-4","Middle","None",-1.10057377055853,0.990351036225694,FALSE
"IL-12p40","Middle","None",1.04823628156025,0.990351036225694,FALSE
"IFN-β","Middle","None",0.783644811338951,0.990351036225694,FALSE
"RANTES","Middle","None",0.740845350565088,0.990351036225694,FALSE
"IL-23","Middle","None",-0.710001648766511,0.990351036225694,FALSE
"MRP8/14","Middle","None",-0.680146064210223,0.990351036225694,FALSE
"IL-10","Middle","None",-0.635248322691277,0.990351036225694,FALSE
"MCP-1","Middle","None",-0.601359962373749,0.990351036225694,FALSE
"Myoglobin","Middle","None",0.437482788341303,0.990351036225694,FALSE
"I-TAC","Middle","None",0.425275324542154,0.990351036225694,FALSE
"IL-8","Middle","None",-0.371467508152943,0.990351036225694,FALSE
"VCAM-1","Middle","None",0.360247667460472,0.990351036225694,FALSE
"IFN-γ","Middle","None",-0.356816864260926,0.990351036225694,FALSE
"IL-1β","Middle","None",-0.341743765287674,0.990351036225694,FALSE
"IP-10","Middle","None",0.317755359382177,0.990351036225694,FALSE
"Cystatin C","Middle","None",0.297470852762226,0.990351036225694,FALSE
"Fibrinogen","Middle","None",-0.284169902689165,0.990351036225694,FALSE
"ICAM-1","Middle","None",0.25597924717318,0.990351036225694,FALSE
"IL-6","Middle","None",-0.216895689103453,0.990351036225694,FALSE
"OPN","Middle","None",-0.204559741048575,0.990351036225694,FALSE
"MPO","Middle","None",0.204097726214631,0.990351036225694,FALSE
"tPA","Middle","None",-0.203048739366176,0.990351036225694,FALSE
"TNF-α","Middle","None",0.177936534666831,0.990351036225694,FALSE
"sCD40L","Middle","None",0.16446736926093,0.990351036225694,FALSE
"MIP-1β","Middle","None",-0.136592666786987,0.990351036225694,FALSE
"PAI-1","Middle","None",-0.130482838607449,0.990351036225694,FALSE
"GM-CSF","Middle","None",-0.115492175019438,0.990351036225694,FALSE
"SAA","Middle","None",0.102402918950585,0.990351036225694,FALSE
"Factor XIII","Middle","None",0.0995530048213809,0.990351036225694,FALSE
"Plasminogen","Middle","None",-0.0994031421856398,0.990351036225694,FALSE
"MMP-2","Middle","None",0.0802147235006672,0.990351036225694,FALSE
"MIP-1α","Middle","None",-0.0779253244598674,0.990351036225694,FALSE
"Antithrombin","Middle","None",-0.0407313569943639,0.990351036225694,FALSE
"Eotaxin","Middle","None",0.0370087608592664,0.990351036225694,FALSE
"Tissue Factor","Middle","None",-0.0323833648701877,0.990351036225694,FALSE
"Prothrombin","Middle","None",0.0245042990894717,0.990351036225694,FALSE
"MMP-9","Middle","None",0.0217693126300045,0.990351036225694,FALSE
"IL-17A","Middle","None",0.0203348562294809,0.990351036225694,FALSE
"PSGL-1","Middle","None",0.0200662378278533,0.990351036225694,FALSE
"NGAL","Middle","None",0.0140635726913914,0.990351036225694,FALSE
"MIG","Middle","None",0.00884292799022468,0.990351036225694,FALSE
"IGFBP-4","Late","Succumbed",-2.641291366817,3.91109635809534e-06,TRUE
"IL-6","Late","Succumbed",-2.32617307421301,0.00103205608550647,TRUE
"MCP-1","Late","Succumbed",-2.13907739851736,7.31632960307045e-06,TRUE
"MPO","Late","Succumbed",-2.03757523777674,3.91109635809534e-06,TRUE
"IP-10","Late","Succumbed",-1.75902028195441,0.00185816622397135,TRUE
"MIG","Late","Succumbed",-1.74727351517283,0.00205735356161922,TRUE
"MMP-2","Late","Succumbed",-1.64418802477404,3.91109635809534e-06,TRUE
"IL-12p40","Late","Survived",1.61361355410741,0.0298029703773062,TRUE
"SAA","Late","Succumbed",-1.48223306334088,0.000162099585050192,TRUE
"VCAM-1","Late","Succumbed",-1.44955734211876,4.52300676327551e-05,TRUE
"Cystatin C","Late","Succumbed",-1.29387642103845,0.000137748743260724,TRUE
"MIP-1β","Late","Succumbed",-1.27657477387336,0.00487910312779923,TRUE
"MMP-9","Late","Succumbed",-1.22132625641955,0.000162099585050192,TRUE
"tPA","Late","None",-1.11584969087247,0.10537762527924,FALSE
"I-TAC","Late","None",-1.03494662143737,0.0767638066623533,FALSE
"MRP8/14","Late","None",-0.984519080928127,0.0841416207344029,FALSE
"PAI-1","Late","None",-0.888852452916638,0.0366343672166351,FALSE
"NGAL","Late","None",-0.885384291658649,0.000162099585050192,FALSE
"ICAM-1","Late","None",-0.830085291464078,0.00205735356161922,FALSE
"RANTES","Late","None",0.796279032483616,0.405133120332941,FALSE
"Myoglobin","Late","None",-0.794816006855701,0.188584977307306,FALSE
"GM-CSF","Late","None",0.720099900185791,0.260961361239868,FALSE
"Factor XIII","Late","None",-0.672711906653209,0.000162099585050192,FALSE
"TNF-α","Late","None",0.658757335423342,0.403585173307929,FALSE
"Tissue Factor","Late","None",-0.461497903223103,0.0366343672166351,FALSE
"IFN-γ","Late","None",0.43796779686131,0.488908123583214,FALSE
"Fibrinogen","Late","None",-0.435350309870596,0.10537762527924,FALSE
"OPN","Late","None",-0.426203836424905,0.0366343672166351,FALSE
"sCD40L","Late","None",-0.393696276902421,0.483636769985027,FALSE
"IL-8","Late","None",-0.382579825207463,0.179809161343,FALSE
"IL-23","Late","None",0.301358527472459,0.71863101954638,FALSE
"MIP-1α","Late","None",-0.298203958762065,0.10537762527924,FALSE
"IL-1β","Late","None",0.290330535588646,0.700214468844886,FALSE
"IFN-β","Late","None",0.271622312376571,0.488908123583214,FALSE
"PSGL-1","Late","None",-0.221116256946308,0.138550801675184,FALSE
"Eotaxin","Late","None",0.114405226954193,0.834629728347476,FALSE
"Plasminogen","Late","None",0.0968679191614576,0.726888394251614,FALSE
"Prothrombin","Late","None",0.0816500327297831,0.834629728347476,FALSE
"IL-10","Late","None",-0.0613597700303146,0.834629728347476,FALSE
"Antithrombin","Late","None",-0.0422004212204499,0.834629728347476,FALSE
"IL-17A","Late","None",0.0312339558549071,0.92610395145258,FALSE
